ATLHF;fairfield-inn-and-suites-bethlehem-ga
LHRCY;courtyard-london-heathrow-airport
CKGGB;majestang-hotel-chongqing-a-tribute-portfolio-hotel
YKFDW;delta-hotels-waterloo
SLPPS;city-express-plus-san-luis-potosi
WUXPS;four-points-suzhou-south
NYCFM;fairfield-inn-and-suites-new-york-manhattan-downtown-east
FAOPL;pine-cliffs-hotel-a-luxury-collection-resort-algarve
BUEPX;city-express-plus-buenos-aires-palermo
PNSTP;towneplace-suites-pensacola-west-i-10
NRNNT;the-rebyl-nijmegen-a-tribute-portfolio-hotel
DUSOX;moxy-essen-city
KWLDP;four-points-guilin-central
AMAXN;city-express-amarillo-northwest
LITFD;fairfield-inn-and-suites-little-rock-downtown
SNAXE;city-express-santa-ana-orange-county-airport
PTYLC;the-santa-maria-a-luxury-collection-hotel-and-golf-resort-panama-city
VPSNR;residence-inn-navarre-waterfront
HAKAP;four-points-haikou-international-airport
GEGCR;residence-inn-coeur-dalene
MTYXC;city-express-monterrey-santa-catarina
SJUTX;hotel-rumbao-a-tribute-portfolio-hotel
ZNZBM;maya-resort-zanzibar-a-tribute-portfolio-hotel
INDWT;towneplace-suites-west-lafayette
YNTZP;four-points-yantai-zhifu
CMHGX;city-express-grove-city
MCODF;fairfield-inn-and-suites-davenport
HGHGB;grand-new-century-hotel-hangzhou-boao-a-tribute-portfolio-hotel
EWRPA;four-points-newark-airport
SATSR;residence-inn-san-antonio-seaworld-lackland
SATKD;plaza-san-antonio-hotel-and-spa-autograph-collection
TIRCY;courtyard-tirupati
LONCH;london-marriott-hotel-county-hall
PTYRI;residence-inn-panama-city
SANGE;gaylord-pacific-resort-and-convention-center
YRVFI;fairfield-inn-and-suites-revelstoke
SELCS;courtyard-seoul-botanic-park
SHAHH;habo-hotel-shanghai-a-member-of-design-hotels
YYZMU;residence-inn-mississauga-airport-corporate-centre-west
YULLC;courtyard-montreal-laval
HOUUP;houston-uptown-a-tribute-portfolio-hotel
WUXHF;fairfield-huzhou-nanxun
DTWRP;residence-inn-ann-arbor-south
YZZAK;the-josie-hotel-autograph-collection
JGARJ;the-fern-residency-jamnagar-series
MUCOM;moxy-munich-messe
ZUHXA;aloft-zhuhai-xiangzhou
PTYMM;courtyard-panama-metromall
PARCP;four-points-paris-charles-de-gaulle-airport
IXKRS;the-fern-residency-somnath-series
AUHSI;sheraton-abu-dhabi-hotel-and-resort
HHNBS;bollants-spa-im-park-autograph-collection
BFSLT;aloft-belfast-titanic-quarter
HOUKE;the-greenleigh-river-oaks-autograph-collection
RNOGR;marriott-grand-residence-club-lake-tahoe
LASAR;aria-resort-and-casino-autograph-collection
FLLCY;courtyard-fort-lauderdale-east-lauderdale-by-the-sea
SATSN;springhill-suites-san-antonio-northwest-at-the-rim
ATLTF;towneplace-suites-atlanta-fairburn
MILOX;moxy-milan-malpensa-airport
CUNCY;courtyard-cancun-airport
JAXSX;city-express-st-augustine
REFMC;marriott-corrientes
YIWLM;lishui-marriott-hotel
YULAP;courtyard-montreal-airport
PUJFP;four-points-puntacana-village
SJWDU;four-points-shijiazhuang-downtown
YYZEL;element-vaughan-southwest
FLLTW;towneplace-suites-fort-lauderdale-weston
HGHSM;le-meridien-shaoxing-yuecheng
SHAEB;the-shanghai-edition
MEXXE;city-express-ebc-reforma
AQAOJ;test-courtyard-hotel-for-alpha
WASFG;residence-inn-washington-dc-foggy-bottom
CLLHB;lasalle-hotel-bryan-a-tribute-portfolio-hotel
IXYRK;the-fern-royal-farm-resort-anjar-series
CTULW;four-points-leshan
YXSCY;courtyard-prince-george
MSYXE;city-express-new-orleans-i-10
LONGH;jw-marriott-grosvenor-house-london
HSNPF;fairfield-zhoushan-putuo
NYCGC;courtyard-new-york-world-trade-center-area
HNMAC;ac-hotel-by-marriott-maui-wailea
FRATX;gekko-house-frankfurt-a-tribute-portfolio-hotel
TRCMC;torreon-marriott-hotel
EVVNS;springhill-suites-newburgh-evansville
MFECY;courtyard-mcallen-airport
KULSI;sheraton-imperial-kuala-lumpur-hotel
LASHH;residence-inn-las-vegas-hughes-center
TYOYU;four-points-flex-yokohama-west
ATLNI;studiores-newnan
PAROB;moxy-paris-bastille
LASSG;the-signature-at-mgm-grand
UIOCY;courtyard-quito-airport
